round,global_accuracy,global_loss,comm_cost_mb
1,0.117212,2.232285,
2,0.122094,2.260045,
3,0.123506,2.288734,
4,0.119801,2.248943,
5,0.118857,2.259667,
6,0.123786,2.241944,
7,0.123774,2.226571,
8,0.120061,2.283788,
9,0.116459,2.249285,
10,0.115931,2.225025,
11,0.125636,2.245995,
12,0.138417,2.262906,
13,0.134265,2.265541,
14,0.144035,2.251363,
15,0.139714,2.259775,
16,0.15507,2.24363,
17,0.158671,2.241703,
18,0.155597,2.183287,
19,0.150929,2.197768,
20,0.146401,2.172604,
21,0.171556,2.157291,
22,0.175673,2.125781,
23,0.17541,2.164651,
24,0.189033,2.128184,
25,0.209345,2.130084,
26,0.203064,2.106755,
27,0.21378,2.05044,
28,0.230605,2.046595,
29,0.235858,2.002068,
30,0.261749,1.976826,
31,0.271985,1.945503,
32,0.284865,1.910924,
33,0.308948,1.819216,
34,0.326963,1.810861,
35,0.340355,1.750923,
36,0.359733,1.69496,
37,0.390163,1.658314,
38,0.394955,1.657251,
39,0.420791,1.606423,
40,0.444154,1.546235,
41,0.447702,1.525398,
42,0.474647,1.466549,
43,0.480049,1.454887,
44,0.504839,1.377886,
45,0.520111,1.344433,
46,0.527192,1.319181,
47,0.538766,1.29567,
48,0.550177,1.292907,
49,0.564647,1.267858,
50,0.577519,1.232233,
51,0.581271,1.225876,
52,0.595949,1.213568,
53,0.601135,1.199698,
54,0.605629,1.147994,
55,0.610117,1.162827,
56,0.61125,1.142242,
57,0.613353,1.145255,
58,0.622299,1.11182,
59,0.622881,1.116802,
60,0.620833,1.122757,
61,0.625871,1.103544,
62,0.626212,1.110728,
63,0.631207,1.088842,
64,0.629451,1.096727,
65,0.635961,1.082423,
66,0.637538,1.082465,
67,0.647696,1.078519,
68,0.634382,1.090732,
69,0.634753,1.096848,
70,0.646381,1.079873,
71,0.640427,1.076818,
72,0.640269,1.100121,
73,0.644334,1.069664,
74,0.647357,1.0947,
75,0.643448,1.071016,
76,0.642064,1.068609,
77,0.643942,1.074012,
78,0.63333,1.089063,
79,0.643263,1.090509,
80,0.642123,1.078957,
81,0.647289,1.081108,
82,0.644103,1.116197,
83,0.642386,1.07781,
84,0.650105,1.065393,
85,0.639077,1.057353,
86,0.645456,1.082931,
87,0.646352,1.058024,
88,0.647465,1.089805,
89,0.643097,1.075126,
90,0.646232,1.079215,
91,0.646134,1.060958,
92,0.642897,1.059307,
93,0.646149,1.081036,
94,0.643251,1.078063,
95,0.637439,1.085032,
96,0.641815,1.075878,
97,0.648162,1.064771,
98,0.648503,1.07575,
99,0.643838,1.081124,
100,0.638746,1.081577,
