round,global_accuracy,global_loss,comm_cost_mb
1,0.099014,2.303976,
2,0.110032,2.332729,
3,0.106731,2.28811,
4,0.106734,2.287566,
5,0.106516,2.254764,
6,0.110542,2.269435,
7,0.107226,2.251095,
8,0.118388,2.285216,
9,0.119238,2.293366,
10,0.115661,2.257385,
11,0.118408,2.262605,
12,0.114856,2.27409,
13,0.113935,2.250125,
14,0.114513,2.259443,
15,0.111078,2.279231,
16,0.114918,2.293963,
17,0.114786,2.217768,
18,0.135887,2.211527,
19,0.13181,2.257772,
20,0.130759,2.195283,
21,0.138734,2.221981,
22,0.151585,2.23106,
23,0.169879,2.166652,
24,0.164782,2.168559,
25,0.166932,2.199964,
26,0.170574,2.147468,
27,0.166746,2.10211,
28,0.193057,2.143249,
29,0.187375,2.133309,
30,0.204382,2.112744,
31,0.198251,2.051588,
32,0.222038,2.050601,
33,0.239413,1.994075,
34,0.246453,2.035233,
35,0.263877,1.976188,
36,0.273359,1.942181,
37,0.300253,1.89541,
38,0.311777,1.841472,
39,0.323537,1.841819,
40,0.331393,1.809389,
41,0.348391,1.736619,
42,0.368984,1.751304,
43,0.387224,1.696187,
44,0.397508,1.644749,
45,0.41104,1.598337,
46,0.437603,1.573466,
47,0.455718,1.537805,
48,0.461262,1.530419,
49,0.472586,1.45533,
50,0.495274,1.457721,
51,0.490177,1.425294,
52,0.510136,1.426095,
53,0.519078,1.368079,
54,0.527936,1.340008,
55,0.537834,1.31517,
56,0.54449,1.295127,
57,0.549852,1.279758,
58,0.560971,1.277337,
59,0.563976,1.279964,
60,0.574629,1.255451,
61,0.577771,1.271872,
62,0.58522,1.247016,
63,0.577191,1.223258,
64,0.582555,1.218492,
65,0.59643,1.208301,
66,0.599844,1.197593,
67,0.602577,1.185244,
68,0.601334,1.205892,
69,0.606598,1.194475,
70,0.614102,1.186932,
71,0.605852,1.153545,
72,0.616289,1.181082,
73,0.605501,1.199906,
74,0.616382,1.182107,
75,0.606495,1.183945,
76,0.610636,1.161973,
77,0.618111,1.148209,
78,0.616837,1.179503,
79,0.623395,1.176533,
80,0.607339,1.160785,
81,0.616341,1.174796,
82,0.620422,1.144816,
83,0.615499,1.180864,
84,0.623335,1.191368,
85,0.615836,1.181179,
86,0.624512,1.181906,
87,0.620755,1.176794,
88,0.614869,1.147869,
89,0.62214,1.1613,
90,0.618231,1.158083,
91,0.616895,1.167967,
92,0.614487,1.165664,
93,0.619665,1.163622,
94,0.615787,1.174245,
95,0.62634,1.156709,
96,0.623851,1.175211,
97,0.608345,1.154432,
98,0.616474,1.17362,
99,0.619819,1.169674,
100,0.621651,1.152408,
