round,global_accuracy,global_loss,comm_cost_mb
1,0.102384,2.27303,
2,0.108376,2.279597,
3,0.105125,2.239691,
4,0.118003,2.244429,
5,0.12328,2.249913,
6,0.119582,2.242329,
7,0.122021,2.231186,
8,0.144748,2.219016,
9,0.155448,2.13647,
10,0.150785,2.146221,
11,0.153541,2.136304,
12,0.165803,2.124107,
13,0.189997,2.073088,
14,0.191139,2.036296,
15,0.222183,1.985999,
16,0.238484,1.9577,
17,0.258057,1.859174,
18,0.293074,1.81384,
19,0.323308,1.724398,
20,0.340147,1.626717,
21,0.379862,1.585709,
22,0.423232,1.445767,
23,0.458229,1.38957,
24,0.486063,1.340073,
25,0.531239,1.221766,
26,0.580899,1.10585,
27,0.599773,1.053867,
28,0.628744,0.94652,
29,0.667421,0.883032,
30,0.698258,0.781583,
31,0.727365,0.743427,
32,0.741394,0.661941,
33,0.764989,0.60354,
34,0.790758,0.569884,
35,0.80083,0.520222,
36,0.814295,0.520551,
37,0.83125,0.448783,
38,0.834038,0.453818,
39,0.844874,0.416524,
40,0.850756,0.388191,
41,0.860986,0.385305,
42,0.870545,0.37645,
43,0.866265,0.375365,
44,0.879427,0.347949,
45,0.870061,0.343649,
46,0.87409,0.364246,
47,0.876098,0.333951,
48,0.88947,0.344698,
49,0.882926,0.320136,
50,0.885507,0.323933,
51,0.893292,0.322471,
52,0.882696,0.334691,
53,0.892999,0.317703,
54,0.892525,0.319737,
55,0.885074,0.316868,
56,0.885732,0.308934,
57,0.886896,0.320217,
58,0.891687,0.298833,
59,0.887487,0.31475,
60,0.893224,0.315213,
61,0.882688,0.330016,
62,0.898752,0.333401,
63,0.893945,0.321721,
64,0.88924,0.31545,
65,0.887409,0.314427,
66,0.886275,0.320068,
67,0.890629,0.322213,
68,0.892822,0.30677,
69,0.895501,0.297757,
70,0.891097,0.305634,
71,0.895157,0.31135,
72,0.893281,0.318813,
73,0.882833,0.300622,
74,0.892696,0.324824,
75,0.894534,0.328525,
76,0.891367,0.313374,
77,0.890262,0.306649,
78,0.888946,0.305288,
79,0.891512,0.303921,
80,0.892384,0.289321,
81,0.893994,0.314263,
82,0.89407,0.306244,
83,0.890255,0.324311,
84,0.891672,0.336858,
85,0.886667,0.308929,
86,0.887783,0.302183,
87,0.889134,0.306005,
88,0.895426,0.297713,
89,0.894736,0.293999,
90,0.890675,0.328506,
91,0.894145,0.31541,
92,0.894818,0.319205,
93,0.89481,0.329551,
94,0.888145,0.31112,
95,0.894848,0.321374,
96,0.894531,0.328334,
97,0.890295,0.295131,
98,0.897389,0.311992,
99,0.890105,0.312449,
100,0.89057,0.324579,
