round,global_accuracy,global_loss,comm_cost_mb
1,0.117028,2.282399,
2,0.113517,2.213626,
3,0.110112,2.289471,
4,0.106808,2.235211,
5,0.106158,2.280315,
6,0.110968,2.21678,
7,0.107639,2.208236,
8,0.10441,2.204515,
9,0.102145,2.196144,
10,0.112607,2.2261,
11,0.109229,2.232116,
12,0.124312,2.221251,
13,0.120583,2.197084,
14,0.119397,2.176688,
15,0.115815,2.172712,
16,0.140795,2.147922,
17,0.136571,2.149666,
18,0.15441,2.091592,
19,0.156566,2.12107,
20,0.169757,2.099411,
21,0.18236,2.020378,
22,0.196149,2.056934,
23,0.205517,1.99659,
24,0.21727,1.976195,
25,0.239644,1.937452,
26,0.262809,1.864826,
27,0.285158,1.83505,
28,0.300722,1.742853,
29,0.327128,1.646821,
30,0.381148,1.623109,
31,0.385637,1.535597,
32,0.424307,1.475851,
33,0.469105,1.405881,
34,0.490521,1.332215,
35,0.511148,1.266146,
36,0.550413,1.17684,
37,0.568852,1.147586,
38,0.598483,1.045923,
39,0.61865,1.001703,
40,0.641869,0.957024,
41,0.660435,0.93699,
42,0.68297,0.892322,
43,0.686929,0.835458,
44,0.71372,0.811431,
45,0.717549,0.762154,
46,0.73531,0.744669,
47,0.743105,0.727921,
48,0.747759,0.708602,
49,0.751605,0.713236,
50,0.763287,0.695182,
51,0.763824,0.657908,
52,0.769008,0.643614,
53,0.776787,0.655233,
54,0.775014,0.634588,
55,0.781305,0.622803,
56,0.780351,0.646927,
57,0.780893,0.616011,
58,0.795682,0.591833,
59,0.782116,0.638214,
60,0.786406,0.61908,
61,0.797577,0.601436,
62,0.787478,0.613682,
63,0.79025,0.600271,
64,0.790606,0.5888,
65,0.793508,0.614774,
66,0.791408,0.600507,
67,0.794609,0.595732,
68,0.79147,0.600918,
69,0.798856,0.600565,
70,0.792712,0.598626,
71,0.791809,0.588181,
72,0.789815,0.61067,
73,0.791344,0.600759,
74,0.791823,0.582739,
75,0.791959,0.616612,
76,0.792235,0.5905,
77,0.792246,0.594623,
78,0.794927,0.593533,
79,0.793667,0.592435,
80,0.795526,0.602375,
81,0.794975,0.606323,
82,0.793758,0.613508,
83,0.796043,0.61689,
84,0.793878,0.601646,
85,0.791484,0.598401,
86,0.797499,0.593604,
87,0.800208,0.598467,
88,0.800581,0.585012,
89,0.793149,0.591898,
90,0.798306,0.606114,
91,0.793963,0.592376,
92,0.794167,0.607119,
93,0.797621,0.597307,
94,0.792493,0.59932,
95,0.794801,0.601194,
96,0.792473,0.619787,
97,0.791774,0.616932,
98,0.799865,0.609861,
99,0.801788,0.604967,
100,0.793027,0.591477,
