round,global_accuracy,global_loss,comm_cost_mb
1,0.097697,2.310029,
2,0.108844,2.319771,
3,0.120076,2.234405,
4,0.134573,2.199579,
5,0.143989,2.203294,
6,0.175515,2.137661,
7,0.202884,2.061474,
8,0.252498,1.873547,
9,0.303688,1.743966,
10,0.368075,1.612014,
11,0.457834,1.415078,
12,0.534199,1.201218,
13,0.613476,0.970687,
14,0.698499,0.771783,
15,0.76777,0.607523,
16,0.825701,0.468967,
17,0.872166,0.344487,
18,0.90443,0.269006,
19,0.927552,0.203365,
20,0.935526,0.180639,
21,0.953641,0.112432,
22,0.965172,0.082832,
23,0.979927,0.075532,
24,0.97448,0.061659,
25,0.982065,0.081921,
26,0.983514,0.049218,
27,0.989187,0.058781,
28,0.981985,0.051756,
29,0.986101,0.053861,
30,0.986057,0.049976,
31,0.993836,0.08429,
32,0.987297,0.0423,
33,0.982557,0.058038,
34,0.980368,0.045325,
35,0.988519,0.049682,
36,0.98537,0.070257,
37,0.990209,0.0423,
38,0.990181,0.044834,
39,0.984999,0.0423,
40,0.991806,0.0423,
41,0.986798,0.059794,
42,0.988305,0.050035,
43,0.984431,0.076156,
44,0.990368,0.0423,
45,0.992313,0.0423,
46,0.981609,0.0423,
47,0.99213,0.043599,
48,0.987941,0.0423,
49,0.991401,0.043662,
50,0.981942,0.051062,
51,0.989059,0.048064,
52,0.992265,0.054296,
53,0.993109,0.046316,
54,0.987538,0.057803,
55,0.991735,0.042836,
56,0.994643,0.048442,
57,0.987119,0.052523,
58,0.983677,0.0423,
59,0.995323,0.060303,
60,0.983404,0.048714,
61,0.989594,0.0423,
62,0.992832,0.0423,
63,0.99107,0.0423,
64,0.989129,0.066373,
65,0.988998,0.0423,
66,0.987987,0.056061,
67,0.985388,0.0423,
68,0.994148,0.064462,
69,0.984447,0.0423,
70,0.981966,0.0423,
71,0.985964,0.046054,
72,0.981565,0.048932,
73,0.975487,0.048748,
74,0.993531,0.0423,
75,0.975581,0.049082,
76,0.989903,0.0423,
77,0.988015,0.063138,
78,0.993857,0.054475,
79,0.982156,0.049118,
80,0.983099,0.046806,
81,0.986134,0.0423,
82,0.993225,0.044154,
83,0.981176,0.051744,
84,0.989844,0.047638,
85,0.984001,0.0423,
86,0.984745,0.0423,
87,0.984293,0.044237,
88,0.981677,0.050085,
89,0.983971,0.057964,
90,0.988625,0.065822,
91,0.981643,0.06464,
92,0.986634,0.054736,
93,0.990659,0.059015,
94,0.987346,0.052682,
95,0.986733,0.056095,
96,0.983533,0.052057,
97,0.993258,0.072081,
98,0.991372,0.065267,
99,0.989194,0.060173,
100,0.99488,0.046322,
